1.1885 0.8880 1.4105 2.3466 1.9741 1.2858 1.0875 1.8853 0.8685 3.6322 1.8519 1.5299 1.2133 2.2986 0.7588 1.2465 1.1814 1.1737 1.1805 0.5319 -0.2630 0.5969 -0.1299 0.6217 -1.5724 0.3696 -0.9283 -0.3784 1.1870 1.7004 1.1782 0.7866 1.2712 0.2248 -0.1739 1.1443 1.6407 1.0320 0.1854 -1.2938 0.5888 0.1277 1.2090 2.4134 0.5444 0.4263 1.5789 1.9803 0.8618 1.3402 1.3258 -0.1890 -0.1926 1.5706 2.3226 1.6207 1.6480 3.4340 2.1826 1.2450 -0.6217 1.2011 3.2015 1.8018
1.5680 1.2862 1.8995 2.9222 2.4508 1.5898 1.4197 2.1503 1.1781 4.0534 2.3478 1.8127 1.5025 2.4772 0.8612 1.3295 1.3092 1.3251 1.2613 0.5588 -0.1459 0.7600 -0.0426 0.7492 -1.3357 0.4992 -0.7526 -0.4127 1.1860 1.6557 1.1489 0.8781 1.5700 0.5841 0.2109 1.5980 2.1616 1.6051 0.7452 -0.7596 0.9843 0.4529 1.4943 2.6459 0.9670 0.9008 2.0766 2.3038 1.2151 1.6719 1.6016 -0.0440 -0.2748 1.7137 2.5152 1.8164 1.6206 3.4716 2.1836 1.1425 -0.7492 0.9906 3.1456 1.6708
1.9109 1.6644 2.3654 3.4488 2.8761 1.8586 1.7295 2.3890 1.4518 4.4261 2.8028 2.0645 1.7639 2.6271 0.9399 1.3819 1.4185 1.4541 1.3158 0.5584 -0.0475 0.9015 0.0272 0.8647 -1.0946 0.6160 -0.5800 -0.4420 1.1705 1.5872 1.0959 0.9438 1.8374 0.9256 0.5816 2.0063 2.6478 2.1337 1.2693 -0.2436 1.3700 0.7568 1.7599 2.8651 1.3691 1.3431 2.5314 2.5922 1.5356 1.9725 1.8584 0.0881 -0.3727 1.8300 2.6665 1.9754 1.5604 3.4670 2.1507 1.0175 -0.8647 0.7621 3.0591 1.5226
2.2129 2.0139 2.7983 3.9173 3.2420 2.0923 2.0111 2.5965 1.6890 4.7459 3.2126 2.2837 1.9968 2.7495 0.9975 1.4053 1.5093 1.5602 1.3453 0.5316 0.0320 1.0204 0.0825 0.9688 -0.8523 0.7182 -0.4126 -0.4613 1.1422 1.4965 1.0200 0.9831 2.0730 1.2447 0.9317 2.3669 3.0882 2.6100 1.7499 0.2465 1.7377 1.0342 1.9990 3.0680 1.7439 1.7466 2.9373 2.8431 1.8192 2.2352 2.0909 0.2071 -0.4812 1.9162 2.7728 2.0950 1.4653 3.4197 2.0824 0.8720 -0.9688 0.5231 2.9412 1.3616
2.4711 2.3247 3.1881 4.3206 3.5427 2.2910 2.2594 2.7688 1.8918 5.0098 3.5745 2.4695 2.2014 2.8465 1.0368 1.4014 1.5819 1.6439 1.3518 0.4798 0.0925 1.1158 0.1271 1.0620 -0.6127 0.8045 -0.2533 -0.4694 1.1028 1.3855 0.9227 0.9958 2.2772 1.5359 1.2544 2.6772 3.4737 3.0280 2.1807 0.7023 2.0784 1.2805 2.2049 3.2496 2.0840 2.1059 3.2899 3.0551 2.0631 2.4543 2.2929 0.3131 -0.5944 1.9688 2.8321 2.1739 1.3348 3.3298 1.9784 0.7090 -1.0620 0.2801 2.7923 1.1913
2.6844 2.5867 3.5260 4.6547 3.7746 2.4549 2.4707 2.9028 2.0640 5.2160 3.8873 2.6228 2.3786 2.9213 1.0605 1.3722 1.6373 1.7061 1.3379 0.4059 0.1346 1.1878 0.1647 1.1446 -0.3803 0.8738 -0.1060 -0.4680 1.0526 1.2570 0.8064 0.9827 2.4522 1.7936 1.5438 2.9334 3.7983 3.3839 2.5576 1.1158 2.3824 1.4918 2.3732 3.4039 2.3825 2.4166 3.5870 3.2275 2.2658 2.6255 2.4581 0.4061 -0.7062 1.9844 2.8435 2.2121 1.1698 3.1987 1.8391 0.5324 -1.1446 0.0377 2.6136 1.0138
2.8527 2.7914 3.8053 4.9177 3.9364 2.5844 2.6424 2.9967 2.2103 5.3636 4.1507 2.7451 2.5303 2.9770 1.0711 1.3201 1.6768 1.7479 1.3067 0.3130 0.1592 1.2372 0.1987 1.2166 -0.1602 0.9253 0.0254 -0.4601 0.9920 1.1135 0.6737 0.9448 2.6010 2.0128 1.7953 3.1327 4.0583 3.6760 2.8782 1.4799 2.6401 1.6653 2.5013 3.5256 2.6337 2.6757 3.8276 3.3603 2.4270 2.7469 2.5808 0.4857 -0.8104 1.9598 2.8077 2.2104 0.9730 3.0288 1.6659 0.3460 -1.2166 -0.2027 2.4072 0.8300
2.9757 2.9327 4.0209 5.1093 4.0286 2.6801 2.7726 3.0498 2.3347 5.4528 4.3646 2.8377 2.6578 3.0159 1.0704 1.2471 1.7017 1.7700 1.2607 0.2043 0.1672 1.2648 0.2316 1.2772 0.0423 0.9587 0.1371 -0.4485 0.9216 0.9575 0.5273 0.8840 2.7264 2.1898 2.0064 3.2735 4.2520 3.9047 3.1417 1.7897 2.8429 1.7988 2.5885 3.6105 2.8333 2.8815 4.0116 3.4535 2.5469 2.8180 2.6558 0.5508 -0.9018 1.8929 2.7263 2.1705 0.7486 2.8236 1.4611 0.1532 -1.2772 -0.4418 2.1757 0.6401
3.0530 3.0085 4.1703 5.2307 4.0534 2.7424 2.8607 3.0622 2.4390 5.4845 4.5288 2.9017 2.7616 3.0389 1.0597 1.1549 1.7129 1.7730 1.2020 0.0825 0.1595 1.2714 0.2648 1.3253 0.2227 0.9736 0.2264 -0.4359 0.8418 0.7913 0.3696 0.8018 2.8302 2.3216 2.1770 3.3564 4.3797 4.0717 3.3488 2.0436 2.9841 1.8915 2.6353 3.6558 2.9790 3.0335 4.1398 3.5068 2.6262 2.8401 2.6795 0.5999 -0.9779 1.7832 2.6018 2.0942 0.5018 2.5876 1.2277 -0.0435 -1.3253 -0.6817 1.9213 0.4439
3.0854 3.0215 4.2539 5.2841 4.0147 2.7727 2.9080 3.0356 2.5223 5.4611 4.6427 2.9370 2.8413 3.0457 1.0402 1.0445 1.7113 1.7574 1.1316 -0.0506 0.1367 1.2579 0.2980 1.3602 0.3774 0.9701 0.2917 -0.4248 0.7535 0.6164 0.2030 0.6994 2.9131 2.4063 2.3089 3.3849 4.4441 4.1803 3.5011 2.2432 3.0606 1.9446 2.6437 3.6604 3.0709 3.1325 4.2137 3.5197 2.6650 2.8155 2.6513 0.6317 -1.0398 1.6330 2.4379 1.9834 0.2382 2.3253 0.9686 -0.2436 -1.3602 -0.9246 1.6461 0.2409
