-0.2573 -1.2794 -0.5576 -0.4172 0.0722 -0.9401 -0.9978 -1.7338 -0.8330 0.5934 -0.5092 -1.1124 -0.2214 -1.0503 -2.4224 -0.6268 -0.3006 -1.4295 -1.9119 -2.2397 -0.9391 0.5265 0.8620 0.9976 -0.0828 -1.4575 -1.2747 -1.5877 -2.4817 -3.6121 -2.8725 -1.9527 -1.1024 -1.4565 -2.6575 -1.1809 -2.0989 -0.9406 -1.3998 0.3343 -1.5554 -2.0407 -2.0914 -1.5352 -0.8095 -1.2284 -1.0774 -1.9270 -1.2439 -0.7868 -1.3420 -1.4576 -1.0055 -1.3037 -1.4809 -2.1725 -2.8698 -2.4711 -2.2814 -2.7708 -0.9976 -4.1391 -3.8697 -3.9666
0.1048 -1.0916 -0.2515 -0.1301 0.3682 -0.4954 -0.8618 -1.4980 -0.5054 0.8947 -0.2115 -0.8949 0.0452 -0.7842 -2.2078 -0.4758 -0.1138 -1.2345 -1.7190 -2.1123 -0.8271 0.6210 0.9776 1.0386 -0.0592 -1.3583 -1.2093 -1.6422 -2.4545 -3.5663 -2.7143 -1.8309 -0.9965 -1.4745 -2.6753 -0.9361 -1.8129 -0.6378 -1.1324 0.5734 -1.3104 -1.8989 -1.9556 -1.4675 -0.6793 -1.0160 -0.8440 -1.7295 -1.0550 -0.6584 -1.2750 -1.3855 -0.9411 -1.2086 -1.3579 -2.0414 -2.7438 -2.3586 -2.1679 -2.7384 -1.0386 -4.1545 -3.8074 -3.9784
0.4656 -0.8833 0.0884 0.1985 0.7180 0.0252 -0.7137 -1.2391 -0.1423 1.2305 0.1253 -0.6334 0.3474 -0.4915 -1.9462 -0.2919 0.1045 -0.9981 -1.4769 -1.9429 -0.6834 0.7313 1.1079 1.0755 -0.0211 -1.2322 -1.1284 -1.6859 -2.4083 -3.4852 -2.5117 -1.6613 -0.8527 -1.4828 -2.6255 -0.6736 -1.4862 -0.2923 -0.8107 0.8389 -1.0346 -1.7300 -1.7865 -1.3503 -0.4996 -0.7627 -0.5675 -1.4804 -0.8274 -0.4900 -1.1586 -1.2755 -0.8396 -1.0720 -1.1952 -1.8686 -2.5726 -2.2062 -2.0126 -2.6643 -1.0755 -4.1379 -3.7071 -3.9640
0.8109 -0.6608 0.4486 0.5615 1.1150 0.6025 -0.5604 -0.9630 0.2431 1.5923 0.4938 -0.3353 0.6761 -0.1793 -1.6411 -0.0877 0.3459 -0.7270 -1.1934 -1.7373 -0.5144 0.8503 1.2454 1.1063 0.0273 -1.0849 -1.0392 -1.7249 -2.3488 -3.3722 -2.2719 -1.4481 -0.6761 -1.4706 -2.5067 -0.3974 -1.1243 0.0894 -0.4399 1.1240 -0.7329 -1.5399 -1.5917 -1.1873 -0.2739 -0.4718 -0.2523 -1.1851 -0.5667 -0.2854 -0.9968 -1.1288 -0.7025 -0.8957 -0.9982 -1.6570 -2.3606 -2.0175 -1.8188 -2.5510 -1.1063 -4.0911 -3.5724 -3.9266
1.1306 -0.4260 0.8179 0.9525 1.5508 1.2147 -0.4048 -0.6768 0.6381 1.9709 0.8861 -0.0083 1.0222 0.1451 -1.2983 0.1256 0.6015 -0.4292 -0.8773 -1.5026 -0.3275 0.9708 1.3826 1.1283 0.0815 -0.9227 -0.9484 -1.7642 -2.2811 -3.2308 -2.0030 -1.1965 -0.4731 -1.4259 -2.3183 -0.1103 -0.7319 0.5000 -0.0257 1.4240 -0.4087 -1.3316 -1.3768 -0.9823 -0.0067 -0.1469 0.0960 -0.8505 -0.2788 -0.0494 -0.7952 -0.9435 -0.5330 -0.6827 -0.7726 -1.4098 -2.1136 -1.7973 -1.5915 -2.4040 -1.1283 -4.0169 -3.4081 -3.8709
1.4200 -0.1777 1.1877 1.3649 2.0153 1.8391 -0.2466 -0.3903 1.0305 2.3563 1.2933 0.3397 1.3769 0.4739 -0.9271 0.3394 0.8621 -0.1139 -0.5380 -1.2470 -0.1301 1.0861 1.5118 1.1382 0.1359 -0.7521 -0.8612 -1.8055 -2.2088 -3.0655 -1.7139 -0.9130 -0.2521 -1.3374 -2.0607 0.1866 -0.3128 0.9315 0.4247 1.7356 -0.0641 -1.1057 -1.1453 -0.7392 0.2966 0.2068 0.4708 -0.4850 0.0295 0.2122 -0.5605 -0.7149 -0.3361 -0.4374 -0.5245 -1.1314 -1.8387 -1.5515 -1.3375 -2.2307 -1.1382 -3.9185 -3.2198 -3.8013
1.6806 0.0877 1.5524 1.7925 2.4958 2.4543 -0.0821 -0.1132 1.4104 2.7387 1.7067 0.7012 1.7320 0.7990 -0.5388 0.5478 1.1192 0.2093 -0.1844 -0.9782 0.0707 1.1903 1.6261 1.1319 0.1859 -0.5790 -0.7804 -1.8469 -2.1329 -2.8810 -1.4123 -0.6046 -0.0218 -1.1962 -1.7346 0.4943 0.1295 1.3755 0.9039 2.0573 0.3012 -0.8605 -0.8972 -0.4615 0.6304 0.5836 0.8642 -0.0971 0.3523 0.4932 -0.2995 -0.4363 -0.1170 -0.1650 -0.2600 -0.8274 -1.5436 -1.2863 -1.0641 -2.0389 -1.1319 -3.7976 -3.0130 -3.7203
1.9202 0.3758 1.9095 2.2287 2.9782 3.0412 0.0952 0.1469 1.7702 3.1091 2.1191 1.0691 2.0810 1.1142 -0.1437 0.7463 1.3662 0.5320 0.1756 -0.7029 0.2697 1.2794 1.7200 1.1064 0.2284 -0.4076 -0.7064 -1.8841 -2.0520 -2.6806 -1.1043 -0.2774 0.2104 -0.9967 -1.3413 0.8163 0.5921 1.8244 1.4046 2.3889 0.6902 -0.5924 -0.6292 -0.1515 0.9901 0.9781 1.2689 0.3053 0.6851 0.7893 -0.0163 -0.1001 0.1199 0.1303 0.0166 -0.5031 -1.2353 -1.0067 -0.7774 -1.8350 -1.1064 -3.6539 -2.7914 -3.6282
2.1505 0.6929 2.2584 2.6665 3.4470 3.5837 0.2928 0.3861 2.1051 3.4594 2.5238 1.4363 2.4185 1.4154 0.2493 0.9318 1.5995 0.8476 0.5354 -0.4262 0.4629 1.3516 1.7899 1.0614 0.2625 -0.2402 -0.6382 -1.9124 -1.9633 -2.4667 -0.7941 0.0638 0.4388 -0.7391 -0.8840 1.1572 1.0724 2.2717 1.9196 2.7305 1.1063 -0.2979 -0.3365 0.1893 1.3722 1.3857 1.6785 0.7158 1.0256 1.0979 0.2878 0.2994 0.3714 0.4452 0.3029 -0.1632 -0.9196 -0.7166 -0.4820 -1.6231 -1.0614 -3.4861 -2.5567 -3.5232
2.3835 1.0431 2.5980 3.0978 3.8869 4.0689 0.5162 0.6034 2.4116 3.7832 2.9142 1.7958 2.7393 1.7007 0.6321 1.1027 1.8176 1.1507 0.8888 -0.1521 0.6473 1.4065 1.8342 0.9990 0.2893 -0.0781 -0.5741 -1.9275 -1.8638 -2.2410 -0.4845 0.4145 0.6587 -0.4296 -0.3701 1.5200 1.5655 2.7110 2.4404 3.0801 1.5498 0.0237 -0.0164 0.5581 1.7727 1.8010 2.0865 1.1288 1.3716 1.4173 0.6124 0.7614 0.6341 0.7768 0.5975 0.1878 -0.6010 -0.4193 -0.1812 -1.4061 -0.9990 -3.2928 -2.3104 -3.4035
