"partCode","gender","age","handedness","group","cs_permut","cue_permut","contAware","unpleas_csplus_av_1","unpleas_csplus_av_2","unpleas_csplus_av_3","unpleas_csplus_av_4","unpleas_csplus_neu_1","unpleas_csplus_neu_2","unpleas_csplus_neu_3","unpleas_csplus_neu_4","unpleas_csminus_1","unpleas_csminus_2","unpleas_csminus_3","unpleas_csminus_4","arous_csplus_av_1","arous_csplus_av_2","arous_csplus_av_3","arous_csplus_av_4","arous_csplus_neu_1","arous_csplus_neu_2","arous_csplus_neu_3","arous_csplus_neu_4","arous_csminus_1","arous_csminus_2","arous_csminus_3","arous_csminus_4","anx_csplus_av_1","anx_csplus_av_2","anx_csplus_av_3","anx_csplus_av_4","anx_csplus_neu_1","anx_csplus_neu_2","anx_csplus_neu_3","anx_csplus_neu_4","anx_csminus_1","anx_csminus_2","anx_csminus_3","anx_csminus_4","ang_csplus_av_1","ang_csplus_av_2","ang_csplus_av_3","ang_csplus_av_4","ang_csplus_neu_1","ang_csplus_neu_2","ang_csplus_neu_3","ang_csplus_neu_4","ang_csminus_1","ang_csminus_2","ang_csminus_3","ang_csminus_4","dis_csplus_av_1","dis_csplus_av_2","dis_csplus_av_3","dis_csplus_av_4","dis_csplus_neu_1","dis_csplus_neu_2","dis_csplus_neu_3","dis_csplus_neu_4","dis_csminus_1","dis_csminus_2","dis_csminus_3","dis_csminus_4","unpleas_cue_av_1","unpleas_cue_av_2","unpleas_cue_av_3","unpleas_cue_neu_1","unpleas_cue_neu_2","unpleas_cue_neu_3","unpleas_cue_minus_1","unpleas_cue_minus_2","unpleas_cue_minus_3","add_learn_trials","unpleas_us_av_1","unpleas_us_av_2","unpleas_us_av_3","unpleas_us_neu_1","unpleas_us_neu_2","unpleas_us_neu_3","cont_usav_csplusav","cont_usav_csplusneu","cont_usav_csminus","cont_usneu_csplusav","cont_usneu_csplusneu","cont_usneu_csminus","cont_cueav_csplusav","cont_cueav_csplusneu","cont_cueav_csminus","cont_cueneu_csplusav","cont_cueneu_csplusneu","cont_cueneu_csminus","cont_cuenothing_csplusav","cont_cuenothing_csplusneu","cont_cuenothing_csminus"
"EL07CH15","female",21,"right","real",2,NA,TRUE,3,1,4,5,2,1,1,1,4,4,2,1,2,2,5,5,3,1,2,1,4,4,2,2,1,1,5,4,1,2,2,2,3,2,1,2,1,1,5,4,1,1,2,1,1,2,1,1,1,1,3,3,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,10,0,0,0,2,1,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EN05AN11","female",20,"right","real",3,NA,TRUE,2,2,5,5,3,4,2,2,4,4,2,1,1,1,5,5,2,3,3,2,3,3,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,10,0,2,2,2,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EN07LF06","female",20,"right","ima",3,3,TRUE,5,3,2,3,3,4,3,3,3,3,2,3,2,1,1,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,4,3,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0,0,0,50,0,0,0,50
"EN09RD15","female",21,"right","ima",1,2,TRUE,2,3,3,3,1,3,4,4,4,5,5,4,1,1,2,3,2,1,3,4,3,3,4,3,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,5,4,4,3,1,1,1,2,1,1,1,1,4,4,4,1,5,10,6,0,5,2,0,5,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,50,50,20,30,10,20,20,40
"ER05EL02","female",22,"right","ima",1,1,TRUE,4,4,4,3,3,3,2,2,2,1,1,2,4,4,3,3,2,2,2,2,2,3,1,1,2,3,3,2,3,1,1,1,2,1,1,1,1,2,2,4,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,3,4,6,1,2,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,0,0,0,40,0,0,0,30
"ER06RD12","female",19,"right","real",1,NA,TRUE,4,4,4,5,4,4,4,3,2,2,1,1,1,3,5,5,2,4,3,2,1,1,1,2,3,4,4,4,3,3,1,1,1,1,1,1,2,3,3,3,4,4,2,3,1,1,1,1,1,1,3,3,1,3,3,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,9,0,0,0,2,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ER07AS29","female",21,"right","ima",3,3,TRUE,3,3,4,4,4,3,2,2,3,3,2,2,2,2,3,3,3,3,4,4,1,1,1,1,2,2,3,3,3,2,2,1,1,1,1,1,1,1,3,3,2,2,1,1,1,1,1,1,2,1,2,2,3,3,1,1,3,2,2,2,5,5,6,0,2,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,0,0,0,75,0,0,0,65
"ER07LD07","female",19,"right","real",3,NA,TRUE,4,3,5,4,4,4,3,3,3,4,3,2,1,2,5,5,1,2,4,3,1,2,2,2,3,1,3,3,3,3,2,2,1,2,2,1,2,1,2,2,2,3,2,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,9,1,2,0,2,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EZ06EN31","female",20,"right","ima",2,1,TRUE,3,3,4,3,3,2,3,3,4,4,2,2,2,2,3,2,2,3,3,4,3,3,2,2,2,2,2,2,3,1,2,1,3,2,2,1,2,2,3,3,2,1,2,1,3,2,1,1,2,1,2,2,1,1,1,1,2,2,1,1,9,5,4,2,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,0,0,0,60,0,0,0,50
"HA04IH18","male",19,"right","real",3,NA,TRUE,3,3,5,5,4,5,2,1,3,4,2,1,1,2,5,5,3,3,3,1,2,2,1,1,1,1,4,5,3,4,1,1,1,1,1,1,1,1,5,5,3,3,1,1,1,1,1,1,1,1,5,5,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,10,4,0,0,2,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
